"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1182","complete purchase as Jane Smith","chromium","2026-06-14","passed","2026-06-14","SauceDemo Regression","Automation Hub","",""
"","1278","complete purchase as A B","chromium","2026-06-14","passed","2026-06-14","SauceDemo Regression","Automation Hub","",""
"","1595","complete purchase as John Doe","chromium","2026-06-14","passed","2026-06-14","SauceDemo Regression","Automation Hub","",""
"","1124","complete purchase as Test User","chromium","2026-06-14","passed","2026-06-14","SauceDemo Regression","Automation Hub","",""
"","1196","complete purchase as Ravi Kumar","chromium","2026-06-14","passed","2026-06-14","SauceDemo Regression","Automation Hub","",""
