"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5742","login for performance_glitch_user should success","chromium","2026-09-02","passed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","680","login for problem_user should success","chromium","2026-09-02","passed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","4074","login for standard_user should success","chromium","2026-09-02","passed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","684","login for visual_user should success","chromium","2026-09-02","passed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","629","login for locked_out_user should fail","chromium","2026-09-02","passed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","704","login for error_user should success","chromium","2026-09-02","passed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
