"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1649","login for visual_user should success","chromium","2026-06-16","passed","2026-06-16","SauceDemo Smoke","smoke\login.spec.ts","",""
"","2446","login for problem_user should success","chromium","2026-06-16","passed","2026-06-16","SauceDemo Smoke","smoke\login.spec.ts","",""
"","2411","login for error_user should success","chromium","2026-06-16","passed","2026-06-16","SauceDemo Smoke","smoke\login.spec.ts","",""
"","2457","login for standard_user should success","chromium","2026-06-16","passed","2026-06-16","SauceDemo Smoke","smoke\login.spec.ts","",""
"","7825","login for performance_glitch_user should success","chromium","2026-06-16","passed","2026-06-16","SauceDemo Smoke","smoke\login.spec.ts","",""
"","2697","login for locked_out_user should fail","chromium","2026-06-16","passed","2026-06-16","SauceDemo Smoke","smoke\login.spec.ts","",""
