"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15915","login for visual_user should success","chromium","2026-09-02","failed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","15948","login for error_user should success","chromium","2026-09-02","failed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","15882","login for standard_user should success","chromium","2026-09-02","failed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","15902","login for locked_out_user should fail","chromium","2026-09-02","failed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","15883","login for problem_user should success","chromium","2026-09-02","failed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
"","15903","login for performance_glitch_user should success","chromium","2026-09-02","failed","2026-09-02","SauceDemo Smoke","smoke\login.spec.ts","",""
