"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","805","login for visual_user should success","chromium","2026-06-14","passed","2026-06-14","SauceDemo Smoke","Automation Hub","",""
"","735","login for error_user should success","chromium","2026-06-14","passed","2026-06-14","SauceDemo Smoke","Automation Hub","",""
"","643","login for locked_out_user should fail","chromium","2026-06-14","passed","2026-06-14","SauceDemo Smoke","Automation Hub","",""
"","947","login for standard_user should success","chromium","2026-06-14","passed","2026-06-14","SauceDemo Smoke","Automation Hub","",""
"","6065","login for performance_glitch_user should success","chromium","2026-06-14","passed","2026-06-14","SauceDemo Smoke","Automation Hub","",""
"","720","login for problem_user should success","chromium","2026-06-14","passed","2026-06-14","SauceDemo Smoke","Automation Hub","",""
