"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2736","complete purchase as A B","chromium","2026-06-16","passed","2026-06-16","SauceDemo Regression","regression\purchase-flow.spec.ts","",""
"","6164","complete purchase as John Doe","chromium","2026-06-16","passed","2026-06-16","SauceDemo Regression","regression\purchase-flow.spec.ts","",""
"","2246","complete purchase as Ravi Kumar","chromium","2026-06-16","passed","2026-06-16","SauceDemo Regression","regression\purchase-flow.spec.ts","",""
"","2349","complete purchase as Test User","chromium","2026-06-16","passed","2026-06-16","SauceDemo Regression","regression\purchase-flow.spec.ts","",""
"","26807","complete purchase as Jane Smith","chromium","2026-06-16","passed","2026-06-16","SauceDemo Regression","regression\purchase-flow.spec.ts","",""
